sys,real,user
0,7.04,0.00
0,6.91,0.00
ERROR 1317 (70100) at line 2: Query execution was interrupted
0,6.67,0.00
sys,real,user
0,7.50,0.00
0,7.22,0.00
0,7.34,0.00
0,8.02,0.00
0,7.39,0.00
0,7.09,0.00
0,7.49,0.00
0,7.98,0.00
0,7.94,0.00
0,7.37,0.00
0,7.84,0.00
0,7.53,0.00
0,7.88,0.00
0,7.33,0.00
0,7.47,0.00
0,7.42,0.00
0,7.16,0.00
0,7.06,0.00
0,7.18,0.00
0,7.18,0.00
0,7.16,0.00
0,7.69,0.00
0,7.16,0.00
0,7.15,0.00
0,7.17,0.00
0,7.17,0.00
0,7.27,0.00
0,7.59,0.00
0,7.17,0.00
0,7.17,0.00
0,7.87,0.00
0,7.27,0.00
0,7.13,0.00
0,7.31,0.00
0,7.25,0.00
0,7.12,0.00
0,7.24,0.00
0,7.24,0.00
0,7.25,0.00
0,7.67,0.00
0,7.15,0.00
0,7.05,0.00
0,7.22,0.00
0,7.15,0.00
0,7.09,0.00
0,7.14,0.00
0,7.31,0.00
0,7.06,0.00
0,7.76,0.00
0,7.23,0.00
