sys,real,user
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.02
0,0.04,0.03
0,0.04,0.03
0,0.04,0.02
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.02
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.02
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.02
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.05,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.03
0,0.04,0.02
