sys,real,user
0,0.12,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.12,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.12,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.08
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
0,0.11,0.07
