sys,real,user
0,0.07,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.02
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.07,0.02
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.02
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.02
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
0,0.06,0.01
