sys,real,user
0,0.03,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.03,0.00
0,0.03,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.03,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.03,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
0,0.02,0.00
